INPUT,方向
USDCNY 20231231 购汇,BUY
usdcny 结汇,SELL
USDCNY 20231009购汇,BUY
EURCNYB T+1 购汇,BUY
即期美元结汇,SELL
美元结汇,SELL
sell,SELL
USDCNY T+0 购汇 或 Buy USDCNY T+0,BUY
Sell usdcny 20250425,SELL
sell usdcny t+0,SELL
BUY HKDCNY 20230316,BUY
BUY Down USDCNY 20231130 7.2,BUY
buy JPYCNY 20230909,BUY
USDCNY 20230506 购汇,BUY
远期报价,NAN
远期美元购汇20231231,BUY
远期美元购汇20230710,BUY
BUY USDCNY T+0；SELL USDCNY 20241025,BUY
SELL USDCNY 20230630,SELL
远期询价,NAN
USDCNY 即期,NAN
远期美元购汇20230331,BUY
USDCNY T+0 结汇,SELL
sell usdcny,SELL
SELL USD BUY EUR,SELL
美元即期结汇,SELL
USDCNY T+0结汇,SELL
buy usdjpy t+0,BUY
镍,NAN
buy USDCNH T+0,BUY
684.76	,NAN
sell usdcny +0,SELL
卖出欧元买入美元 ,BUY
buy usdcny 20220630,BUY
USDCHY 结汇 20231130,SELL
usdcny 20231015 结汇,SELL
USDCNY 20230623 购汇,BUY
即期美元购汇,BUY
USD/CNY 日内价格,NAN
USDCNY 20230427 结汇,SELL
Sell USDCAD T+0,SELL
EURCNY T+0购汇,BUY
询价,NAN
USDCNY T+2购汇,BUY
USDJPY T+0 购汇,BUY
.USDCNY 20230320 结汇 ,SELL
jpycny t+1,NAN
7.2027/7.1931,NAN
区间远期400个点,NAN
即期结汇,SELL
USDCNH 8M 结汇,SELL
Buy HKDCNY 20231230,BUY
sell usdcny 20240317,SELL
双货币存款交易时间,NAN
EURUSD 3M 结汇,SELL
结汇,SELL
buy gbdcny,BUY
USDCNY 20230124 购汇 ,BUY
USDCNY 3,NAN
客户 出口 200 一个月,SELL
EURUSD,NAN
SGDCNY T+0 ,NAN
EURCNY T+0 结汇,SELL
EURUSD 6M 购汇,BUY
cnyusd t+1 购汇,BUY
USDCNY 结汇,SELL
Sell USDCNY 2024.01.31,SELL
今日美元兑人民币价格,NAN
美元结汇,SELL
KKDCNY T+0 购,BUY
USDCNY 20240908 购汇,BUY
USDCNY T+0 购汇,BUY
SELL EURCNY T+0,SELL
USDCNY 2023-9-1 购汇,BUY
sell usdcny 20230220 6.8,SELL
澳元,NAN
远期美元结汇20231007,SELL
EUR CNY 3M 结汇,SELL
"美元/人民币(USD/CNY)，交割日为2023年08月14日，当前结汇方向参考价为：
7.2581
请注意：该报价仅供我行内部使用！该价格仅供当前时点参考价格，实际成交请与交易员确认。",SELL
USDCNY 20221230 购汇,BUY
询证函的版本有吗,NAN
BUY USDCNH Y+0,BUY
不用EURUSD 20231017 ,NAN
sell usdcnh T+2,SELL
远期美元购汇20250417,BUY
"例如：
USDCNY T+0 结汇",SELL
HKDCNH T+0 结汇,SELL
buy usdcny 1m 7.32,BUY
流程,NAN
人民币兑美元,NAN
即期美元购汇,BUY
远期美元购汇20231130,BUY
美元即期结汇,SELL
美元人民币结汇,SELL
BUY USDCNY 20231007,BUY
Sell USDCNY 20230930,SELL
SELL USDCNY 20240825,SELL
美元购汇,BUY
sell usdjpy 20240424,SELL
sell eurusd T+0 1.07,SELL
"--拜登和麦卡锡就尽快提高债务上限各表决心，有可能在周日达成协议
美国总统拜登和共和党籍众议院议长麦卡锡周三强调，他们决心尽快达成协议，提高联邦政府31.4万亿美元的举债上限，以避免出现将给经济造成灾难性影响的债务违约。“明确地说，此次磋商是关于预算纲要，而不是关于我们是否要(偿还债务)，”拜登称。“(国会)领导人都同意：我们将不会违约。每位领导人都这么说。”

--习近平：中国着力扩大对内对外开放，扩大规则、管理、标准等制度型开放
中国国家主席习近平表示，要着力扩大对内对外开放，打造内陆改革开放高地。稳",NAN
Sell USDCNY 3M 结汇,SELL
USDCNY T+0 结汇,SELL
HKDCNH T+1 购汇,BUY
usdcny 购汇 20231230,BUY
Buy usdcny 20230331 6.76,BUY
Sell USDCNY 20221230,SELL
USDCNY 20240908 购汇,BUY
即期 BUY USDCNY 6M,BUY
sell usdjpy t+0,SELL
一个月结汇,SELL
USDCNY 20230511,NAN
即期结汇点差,SELL
您好，请问招小萃有IP形象嘛～,NAN
"例如：
USDCNY T+1 购汇",BUY
SELL USDCNY 20230701,SELL
USDCNY T+0,NAN
USDCNH 20231215,NAN
咨询,NAN
Buy usucny t+0,BUY
SELL USDCNY 20230624,SELL
USDCNY 202311101 结汇    ,SELL
USDCNY T+5 结汇,SELL
USDCNH 结汇,SELL
9点50分，美元/人民币(USD/CNY)，交割日为2023年06月29日，当前结汇方向参考价为：7.2389，供参考。,SELL
"sell usdcny 1m
sell usdcny 2m",SELL
远期美元购汇20230610,BUY
 ,NAN
USDCNY 20231230 购汇,BUY
你能介绍下自己吗,NAN
USDCNY 20230715结汇,SELL
buy usd cny,BUY
.USDCNH T+0 结汇,SELL
即期美元结汇,SELL
区间远期报价,NAN
 ,NAN
即期：BUY USDCNY 20230216,BUY
Sell USDCNY 20230623,SELL
EURCNY 20231203 结汇,SELL
HKDCNY 20230521 购汇 ,BUY
即期美元结汇,SELL
EURCNY 购汇,BUY
择期 SELL USDCNY 1M,SELL
BUY USDCNYT+0,BUY
buy erucny 20230615,BUY
USDCNY T+0 结汇,SELL
717.58,NAN
USDCNY 12M 结汇,SELL
sell USDCNY 20230622,SELL
USDCNY 20231030结汇,SELL
Sell EURUSD T+0,SELL
路透新闻,NAN
USDCNH 20230210 结汇,SELL
SELL USDCNY t+9,SELL
USDCNY 20240421 结汇,SELL
远期报价,NAN
USDCNY T+0,NAN
USDCNH 20230730 结汇,SELL
远期美元1M,NAN
USDCNY T+1结汇,SELL
Sell USDJPY T+0,SELL
USDCNY 20230813 购汇,BUY
buy uadcny t+0,BUY
USDCNY 20230718   结汇,SELL
B/S USDCNY T+1M,NAN
Sell USDEUR T+0,SELL
JPYCNY 20230430 购汇,BUY
BUY USDCNY 20231230,BUY
"中国的贸易数据将于今日稍后公布，如果数据显示经济进一步走软，可能会给澳元和新西兰元带来更大压
力。这两种货币经常被用作人民币的流动性替代物。",NAN
USDCNY 20230702 结汇,SELL
SELL USDCNY 20240820,SELL
buy USDCNY T+0 购汇,BUY
USDCNH 20231110 购汇,BUY
USDCNY T+0,NAN
buyJPYUSD,BUY
近结远购,NAN
EURCNY T+10 购汇,BUY
USDCNY 20240705 结汇,SELL
20240331,NAN
USDCNY T+1 结汇,SELL
存汇盈,NAN
美金利率,NAN
BUY USDCNY 20221230,BUY
JPYCNY 20230930 购汇,BUY
Buy,BUY
购汇,BUY
sell usdcny20231229,SELL
远期美元购汇20230331,BUY
#(哇),NAN
buy USDCNY T+0,BUY
"美元/人民币(USD/CNY)，交割日为2023年08月28日，当前购汇方向参考价为：
7.2962
请注意：该报价仅供我行内部使用！该价格仅供当前时点参考价格，不含风险准备金加点，实际成交请与交易员确认。",BUY
USDCNY 20230318 购汇,BUY
BUY USDCNY 20220418,BUY
buy USDCNY 20240928,BUY
报价规范,NAN
"2笔展期 usdcny usd 1mio*2 0926 roll to 1226 b/s swp=-730/-760/-780/-860 , and sell eurusd strangle (1.0750, 1.20) eur 1mio*4, exp: 240426/0529/0627/0729 prem=136/153/167/183",NAN
USDCNY 20240630 结汇,SELL
"1.如到期日观察汇率≤约定汇率，则于交割日按照执行汇率结汇；
2.如到期日观察汇率>约定汇率，则无交割（即弃权）；",SELL
USDCNY 20230612 结汇,SELL
随心展T+1,NAN
USDCNY 20230405 结汇,SELL
B/S USDCNY T+2-36M,NAN
SELL USDCNY T+1m,SELL
咨询,NAN
即期美元购汇20230828,BUY
USDCNH T+0 结汇,SELL
Sell USDCNY 2023610,SELL
USDCNH 20230726 购汇,BUY
美元价格,NAN
CNH,NAN
即期美元汇率,NAN
USDCNY 20231210 购汇,BUY
卖出,SELL
远期美元购汇20231210,BUY
7.0381,NAN
远期美元结汇1M,SELL
美元结汇,SELL
3M,NAN
buy usdcny 20230624,BUY
USDCNY 20230724结汇,SELL
Sell USDCNY T+0；,SELL
SGDCNY 20241220 结汇,SELL
USDCNY  20231130 结汇,SELL
USDeur 20231016 购汇,BUY
即期美元结汇,SELL
usdcny 20230909 结汇,SELL
buy usdcny t+0,BUY
JPYCNY 20240114 结汇,SELL
sell jpycny 20230215,SELL
USDCNY 20230624 购汇,BUY
美元对人民币T+1结汇,SELL
USDCNH T+0 结汇,SELL
USDCNY T+1 结汇,SELL
外汇买卖,NAN
Sell USDCNY 20220510,SELL
buy usdcny 20240501,BUY
sell usdcnh 20230329,SELL
SELL USDCNY 20231125,SELL
Sell usdCNY 3M 6.85,SELL
USDCNY 20231130购汇,BUY
sell usdcny 20230813,SELL
HKDCNY 20260606 购汇,BUY
即期购汇时间,BUY
即期美元结汇,SELL
BUY USDCNY 20240817,BUY
sell usdcny 20230229,SELL
USDCNY T+90 购汇,BUY
Sell USDCNY T+0,SELL
即期美元结汇,SELL
USDCNY T+0 购汇,BUY
USDCNY T+0 购汇,BUY
Sell USDCNY 20240101,SELL
BUY USDCNY 20230820,BUY
USDCNY 20230423 结汇,SELL
EYRCNY 1M ,NAN
USDCNY 20230318 购汇,BUY
欧元购汇报价,BUY
520502,NAN
usdjpy 即期 购汇,BUY
USDCNY 2M buy,BUY
Sell EURCNH T+0,SELL
20230120,NAN
押汇,NAN
sell usdcny T+6M,SELL
USDCNY20231211购汇,BUY
usdcny T+0 结汇,SELL
USDCNY 20230812购汇,BUY
到账通知可以接受日、周、月的汇总到账通知吗,NAN
usdcny 30,NAN
USDCNY T+1,NAN
BUY EURUSD T+,BUY
BUY USDCNY 20230610,BUY
即期离岸港币结汇,SELL
USDCNY 20230507 结汇,SELL
USDCNY T+0-1Y,NAN
EURCNY 20230603 结汇,SELL
buy usdcnh 20231212,BUY
USDCNY20230905 结汇,SELL
USDCNY 20230408 购汇,BUY
Usdcny 20230506购汇,BUY
EUR CNY 3M 购汇,BUY
远期美元结汇20230929,SELL
USDCNH 20231117结汇,SELL
USDCNH 20230501 结汇,SELL
BUY USDCNY 20231230,BUY
Sell USDCNH 20240715,SELL
USDCNY T+0结汇,SELL
